name,price
ALLUVE’ JADE,4.50
ALLUVE’ ORIGINAL,4.80
ALLUVE’ WHITE,4.50
AMERICAN SPIRIT ORIGINAL BLUE,6.00
AMERICAN SPIRIT ORIGINAL ORANGE,6.00
AMERICAN SPIRIT ORIGINAL YELLOW,6.00
AUSTIN BLUE,4.60
AUSTIN RED,4.60
AUSTIN VERTE,4.70
BENSON & HEDGES GOLD,6.00
BENSON&HEDGES BLUE,4.90
BENSON&HEDGES BLUE 100,4.90
BENSON&HEDGES BLUE SUPER S,4.90
BENSON&HEDGES RED,4.90
BENSON&HEDGES RED 100,4.90
BENSON&HEDGES WHITE,4.90
BENSON&HEDGES WHITE 100S,4.90
BENSON&HEDGES YELLOW,4.70
BENSON&HEDGES YELLOW 100S,4.90
BENSON&HEDGES YELLOW SUPER S,4.90
BENTLEY AZURE,5.00
BENTLEY CLASSIC,5.00
BLACK DEVIL BLACK,5.00
BLACK DEVIL PINK,5.00
BLACK DEVIL YELLOW,4.40
BURTON ORIGINAL,4.40
CAMEL ACTIVATE,5.30
CAMEL ACTIVATE DOUBLE,5.30
CAMEL BLUE,5.40
CAMEL BLUE 100’S,5.40
CAMEL COMPACT FILTERS,5.20
CAMEL CONNECT BLUE,5.20
CAMEL ESSENTIAL BLUE,5.20
CAMEL ORANGE,5.40
CAMEL SILVER,5.40
CAMEL WHITE,5.40
CAMEL YELLOW,5.40
CAMEL YELLOW 100S,5.40
CHE,4.80
CHE BLANCO,4.80
CHESTERFIELD BLUE 100’S,5.00
CHESTERFIELD BLUE KS,5.00
CHESTERFIELD CAPS TWICE,5.00
CHESTERFIELD KS,5.00
CHESTERFIELD RED 100’S,5.00
CHESTERFIELD SILVER BLUE,5.00
CHIARAVALLE BURLEY & VIRGINIA,4.70
CHIARAVALLE VIRGINIA,4.70
CHIARAVALLE VIRGINIA BRIGHT,4.70
CORSET BREEZE,4.70
CORSET DEUX À PORTER,4.80
CORSET LILAC À PORTER,4.80
CORSET MAUVE,4.70
CORSET MAUVE À PORTER,4.80
CORSET PINK,4.70
DAVIDOFF BLUE,5.50
DAVIDOFF BLUSH SSL-LINE,5.50
DAVIDOFF BREEZE,5.50
DAVIDOFF CLASSIC,5.50
DAVIDOFF GOLD,5.50
DAVIDOFF GOLD SL LINE,5.50
DAVIDOFF MAGENTA SSL-LINE,5.50
DIANA AZZURRA 100’S,5.00
DIANA AZZURRA KS,5.00
DIANA BIANCA,5.00
DIANA BLU 100’s,5.00
DIANA BLU KS,5.00
DIANA ROSSA 100’s,5.00
DIANA ROSSA KS,5.00
DIANA SSL BLU,5.00
DUNHILL BLUE,6.00
DUNHILL GOLD,6.00
DUNHILL INTERNATIONAL,6.20
DUNHILL RED,6.00
ELIXYR BLUE,4.70
ELIXYR BLUE 100’S,4.70
ELIXYR EXTREME VERTE,4.80
ELIXYR RED,4.70
ELIXYR RED 100’S,4.70
ELIXYR VERTE,4.80
ELIXYR VERTE 100s,4.80
E-MAIL RED 4,4.00
E-MAIL RED 8,4.00
ESPORTAZIONE,5.50
FUTURA BIANCA,4.30
FUTURA BLACK S-SIZE,4.10
FUTURA BLU,4.00
FUTURA CLASSICA,4.80
FUTURA GHIACCIO,4.60
FUTURA GOLD S-SIZE,4.10
FUTURA ROSSA,4.00
FUTURA WHITE S-SIZE,4.10
GAULOISES BLONDES BLU,5.00
GAULOISES BLONDES GIALLA,5.00
GAULOISES BLONDES ROSSA,5.00
GITANES,5.70
GITANES FILTRE,5.70
GIUBEK FILTRO,4.00
GLAMOUR BLUES,5.50
GLAMOUR PINKS,5.50
GLAMOUR SECRET,5.50
JPS BLUE,4.40
JPS BLUE STREAM,4.70
JPS BLUE STREAM 100,4.70
JPS COMPACT BLUE STREAM,4.60
JPS ORIGINAL,4.70
JPS RED,4.70
JPS RED 100,4.70
JPS SILVER,4.70
JPS SILVER 100,4.70
JPS SSL-LINE SILVER,4.70
JPS SSL-LINE WHITE,4.70
KENT BLUE,6.00
KENT SURROUND,6.00
L&M BLUE LABEL KS,5.00
L&M RED LABEL KS,5.00
LAMBERT & BUTLER KING SIZE,5.50
LIDO BLU,5.50
LINDA,4.80
LINDA BLU,4.80
LUCKY STRIKE AMBER,5.00
LUCKY STRIKE BLUE POCKET,4.80
LUCKY STRIKE CLICK 4 MIX,5.00
LUCKY STRIKE DOUBLE CLICK,5.00
LUCKY STRIKE ORIGINAL,5.00
LUCKY STRIKE SWITCH,5.00
MADEMOIESELLE LA BLANCHE,4.80
MADEMOISELLE LA BLEUE,4.80
MADEMOISELLE LA ROUGE,4.80
MADEMOISELLE LA VERTE,4.90
MARK ADAMS No. 1 GOLD 100’S,4.40
MARK ADAMS No. 1 M,4.40
MARK ADAMS No. 1 NEW GOLD,4.40
MARK ADAMS No. 1 NEW RED,4.40
MARK ADAMS No. 1 RED 100’S,4.40
MARK ADAMS No. 1 SILVER,4.40
MARK ADAMS No. 1 WHITE,4.40
MARLBORO 100S,5.90
MARLBORO ADVANCE TOUCH,5.60
MARLBORO BLUE ADVANCE,5.90
MARLBORO BLUE LINE,5.90
MARLBORO FUSE BEYOND,5.90
MARLBORO GOLD 100S,5.90
MARLBORO GOLD KS,5.90
MARLBORO GOLD LINE,5.90
MARLBORO GOLD POCKET PACK,4.90
MARLBORO GOLD TOUCH KS,5.60
MARLBORO KS,5.90
MARLBORO MIX,5.60
MARLBORO POCKET PACK,4.90
MARLBORO REGULAR,4.90
MARLBORO SILVER BLUE KS,5.90
MARLBORO SILVER TOUCH,5.60
MARLBORO TOUCH,5.60
MERCEDES KS,5.40
MERIT BAY KS,5.20
MERIT BIANCA KS,5.50
MERIT BLU 100’S,5.50
MERIT BLU KS,5.50
MERIT GIALLA,5.40
MERIT GIALLA 100’S,5.50
MERIT GIALLA KS,5.50
MERIT SSL,5.50
MS AZZURRE,5.20
MS BIANCHE,5.20
MS BIONDE,5.20
MS BIONDE 100’S,5.20
MS CHIARE,5.20
MS CHIARE 100’S,5.20
MS CLASSIC,5.20
MS CLUB,5.20
MS CLUB BIANCA,5.20
MS NAZIONALI,5.20
MS ROSSE,5.20
MULTIFILTER PHILIP MORRIS SSL BLU,5.90
MULTIFILTER PHILIP MORRIS SSL ROSSA,5.90
MURATTI AMBASSADOR AZURE KS,5.90
MURATTI AMBASSADOR BLUE KS,5.90
MURATTI AMBASSADOR SILVER KS,5.90
MURATTI AZURE 100S,5.90
MURATTI RED 100S,5.90
MURATTI SSL,5.90
NEWS RED,5.00
NO BRAND,4.20
PETER STUYVESANT BLUE,5.00
PETER STUYVESANT BLUE 100’S,5.00
PETER STUYVESANT GOLD,5.00
PETER STUYVESANT GOLD 100’S,5.00
PETER STUYVESANT ORIGINAL,5.00
PETER STUYVESANT ORIGINAL 100’S,5.00
PHILIP MORRIS AZURE,5.20
PHILIP MORRIS AZURE 100’S,5.20
PHILIP MORRIS BLUE,5.20
PHILIP MORRIS BLUE 100’S,5.20
PHILIP MORRIS CLASSIC SSL BLU,5.90
PHILIP MORRIS CLASSIC SSL ROSSA,5.70
PHILIP MORRIS FILTER KINGS,5.20
PHILIP MORRIS RED,5.20
PHILIP MORRIS RED 100’S,5.20
PHILIP MORRIS SSL BEIGE,5.20
PHILIP MORRIS SSL BLUE,5.20
PHILIP MORRIS WHITE,5.20
PUEBLO BLUE,5.30
PUEBLO CLASSIC,5.30
PUEBLO GT,5.30
PUEBLO ORANGE,5.30
R1 SL-LINE,5.40
ROTHMANS CLASSIC RED 100,4.80
ROTHMANS CLASSIC RED 20,4.80
ROTHMANS CLASSIC SILVER,4.80
ROTHMANS OF LONDON BLUE 100,5.00
ROTHMANS OF LONDON BLUE 20,5.00
ROTHMANS OF LONDON D SERIES CLICK,4.80
ROTHMANS OF LONDON DOUBLE CLICK 20S,5.00
ROTHMANS OF LONDON D-SERIES,4.80
ROTHMANS OF LONDON INTENSE BLUE,5.00
